taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
Arthropoda,Arachnida,Araneae,Pisauridae,,Pisaura,Pisaura mirabilis
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Mollusca,Gastropoda,Stylommatophora,Arionidae,,Arion,Arion vulgaris
Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophagini,Sarcophaga,
Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,,Pyrrhocoris,Pyrrhocoris apterus
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Helix,Helix pomatia
Arthropoda,Arachnida,Opiliones,Phalangiidae,,Rilaena,Rilaena triangularis
Arthropoda,Insecta,Diptera,Limoniidae,Limoniini,Limonia,Limonia phragmitidis
Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharini,Cantharis,Cantharis livida
Arthropoda,Insecta,Diptera,Syrphidae,Syrphini,Syrphus,
Chordata,Aves,Gruiformes,Rallidae,,Fulica,Fulica atra
Arthropoda,Insecta,Coleoptera,Silphidae,,Silpha,Silpha obscura
Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Ischnura elegans
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetoniini,Oxythyrea,Oxythyrea funesta
Arthropoda,Insecta,Lepidoptera,Crambidae,,Evergestis,Evergestis frumentalis
Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos
Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Ischnura elegans
Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Ischnura elegans
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Adalia,Adalia bipunctata
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Adalia,Adalia bipunctata
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanini,Dorcus,Dorcus parallelipipedus
Chordata,Mammalia,Eulipotyphla,Erinaceidae,,Erinaceus,Erinaceus roumanicus
Arthropoda,Insecta,Lepidoptera,Crambidae,Crambini,Chrysoteuchia,Chrysoteuchia culmella
Arthropoda,Insecta,Coleoptera,Elateridae,Dendrometrini,Athous,Athous haemorrhoidalis
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Doryphorini,Chrysolina,Chrysolina fastuosa
Mollusca,Gastropoda,Stylommatophora,Succineidae,,Succinea,Succinea putris
Arthropoda,Arachnida,Araneae,Lycosidae,,Xerolycosa,Xerolycosa miniata
Arthropoda,Arachnida,Araneae,Agelenidae,,Agelena,Agelena labyrinthica
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Melolonthini,Anoxia,Anoxia villosa
Arthropoda,Insecta,Lepidoptera,Crambidae,,Evergestis,Evergestis frumentalis
Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos
Arthropoda,Insecta,Hemiptera,Aphididae,Aphidini,Hyalopterus,Hyalopterus pruni
Mollusca,Gastropoda,Architaenioglossa,Viviparidae,,Viviparus,Viviparus viviparus
Mollusca,Bivalvia,Myida,Dreissenidae,,Dreissena,Dreissena polymorpha
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba livia
Mollusca,Gastropoda,Stylommatophora,Geomitridae,Helicopsini,Xerolenta,Xerolenta obvia
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatini,Polyommatus,Polyommatus icarus
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatini,Polyommatus,Polyommatus icarus
Chordata,Actinopterygii,Perciformes,Percidae,,Perca,Perca fluviatilis
Arthropoda,Arachnida,Araneae,Araneidae,,Argiope,Argiope bruennichi
Arthropoda,Insecta,Diptera,Muscidae,Muscini,Musca,Musca domestica
Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Mollusca,Gastropoda,Stylommatophora,Arionidae,,Arion,Arion vulgaris
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctini,Oryctes,Oryctes nasicornis
Mollusca,Gastropoda,Cycloneritida,Neritidae,,Theodoxus,Theodoxus fluviatilis
Chordata,Aves,Passeriformes,Motacillidae,,Motacilla,Motacilla alba
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetoniini,Cetonia,Cetonia aurata
Arthropoda,Insecta,Hymenoptera,Apidae,Apini,Apis,Apis mellifera
Arthropoda,Insecta,Odonata,Coenagrionidae,,Coenagrion,Coenagrion puella
Chordata,Aves,Passeriformes,Paridae,,Parus,Parus major
Arthropoda,Insecta,Odonata,Libellulidae,,Libellula,Libellula fulva
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Propylea,Propylea quatuordecimpunctata
Arthropoda,Insecta,Hemiptera,Aphididae,Panaphidini,Panaphis,Panaphis juglandis
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigoniini,Tettigonia,Tettigonia viridissima
Chordata,Aves,Passeriformes,Passeridae,,Passer,Passer domesticus
Arthropoda,Insecta,Hymenoptera,Apidae,Apini,Apis,Apis mellifera
Arthropoda,Arachnida,Araneae,Salticidae,Salticini,Salticus,Salticus scenicus
Mollusca,Gastropoda,Stylommatophora,Arionidae,,Arion,Arion vulgaris
Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Paradoxosomatini,Strongylosoma,Strongylosoma stigmatosum
Chordata,Aves,Passeriformes,Turdidae,,Turdus,Turdus philomelos
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Helix,Helix pomatia
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Helix,Helix pomatia
